tsa,tsa_letter,county
"TSA","A","Armstrong,Briscoe,Carson,Childress,Collingsworth,Dallam,Deaf Smith,Donley,Gray,Hall,Hansford,Hartley,Hemphill,Hutchinson,Lipscomb,Moore,Ochiltree,Oldham,Parmer,Potter,Randall,Roberts,Sherman,Swisher,Wheeler"
"TSA","B","Bailey,Borden,Castro,Cochran,Cottle,Crosby,Dawson,Dickens,Floyd,Gaines,Garza,Hale,Hockley,Kent,King,Lamb,Lubbock,Lynn,Motley,Scurry,Terry,Yoakum"
"TSA","C","Archer,Baylor,Clay,Foard,Hardeman,Jack,Montague,Wichita,Wilbarger,Young"
"TSA","D","Brown,Callahan,Coleman,Comanche,Eastland,Fisher,Haskell,Jones,Knox,Mitchell,Nolan,Shackelford,Stephens,Stonewall,Taylor,Throckmorton"
"TSA","E","Collin,Cooke,Dallas,Denton,Ellis,Erath,Fannin,Grayson,Hood,Hunt,Johnson,Kaufman,Navarro,Palo Pinto,Parker,Rockwall,Somervell,Tarrant,Wise"
"TSA","F","Bowie,Cass,Delta,Hopkins,Lamar,Morris,Red River,Titus"
"TSA","G","Anderson,Camp,Cherokee,Franklin,Freestone,Gregg,Harrison,Henderson,Houston,Marion,Panola,Rains,Rusk,Shelby,Smith,Trinity,Upshur,Van Zandt,Wood"
"TSA","O","Bastrop,Blanco,Burnet,Caldwell,Fayette,Hays,Lee,Llano,San Saba,Travis,Williamson"
"TSA","I","Culberson,El Paso,Hudspeth"
"TSA","J","Andrews,Brewster,Crane,Ector,Glasscock,Howard,Jeff Davis,Loving,Martin,Midland,Pecos,Presidio,Reeves,Terrell,Upton,Ward,Winkler"
"TSA","K","Coke,Concho,Crockett,Irion,Kimble,Mason,McCulloch,Menard,Reagan,Runnels,Schleicher,Sterling,Sutton,Tom Green"
"TSA","T","Jim Hogg,Webb,Zapata"
"TSA","U","Aransas,Bee,Brooks,Duval,Jim Wells,Kenedy,Kleberg,Live Oak,McMullen,Nueces,Refugio,San Patricio"
"TSA","V","Cameron,Hidalgo,Starr,Willacy"
"TSA","S","Calhoun,DeWitt,Goliad,Jackson,Lavaca,Victoria"
"TSA","R","Brazoria,Chambers,Galveston,Hardin,Jasper,Jefferson,Liberty,Newton,Orange"
"TSA","H","Angelina,Nacogdoches,Polk,Sabine,San Augustine,San Jacinto,Tyler"
"TSA","L","Bell,Coryell,Hamilton,Lampasas,Milam,Mills"
"TSA","M","Falls,Bosque,Hill,Limestone,McLennan"
"TSA","N","Brazos,Burleson,Grimes,Leon,Madison,Robertson,Washington"
"TSA","P","Atascosa,Bandera,Bexar,Comal,Dimmit,Edwards,Frio,Gillespie,Gonzales,Guadalupe,Karnes,Kendall,Kerr,Kinney,La Salle,Maverick,Medina,Real,Uvalde,Val Verde,Wilson,Zavala"
"TSA","Q","Austin,Colorado,Fort Bend,Harris,Matagorda,Montgomery,Walker,Waller,Wharton"
