"ZIP","group"
76527,"high burden"
76530,"high burden"
76537,"high burden"
76574,"high burden"
76578,"high burden"
78602,"low burden"
78610,"low burden"
78612,"high burden"
78613,"low burden"
78615,"high burden"
78616,"high burden"
78617,"high burden"
78619,"low burden"
78620,"low burden"
78621,"high burden"
78626,"low burden"
78628,"low burden"
78633,"low burden"
78634,"low burden"
78640,"low burden"
78641,"low burden"
78642,"low burden"
78644,"low burden"
78645,"low burden"
78648,"high burden"
78650,"high burden"
78652,"low burden"
78653,"high burden"
78655,"low burden"
78656,"high burden"
78659,"high burden"
78660,"low burden"
78662,"high burden"
78664,"low burden"
78665,"low burden"
78666,"low burden"
78669,"low burden"
78676,"low burden"
78681,"low burden"
78701,"high burden"
78702,"low burden"
78703,"low burden"
78704,"low burden"
78705,"low burden"
78717,"low burden"
78719,"low burden"
78721,"high burden"
78722,"low burden"
78723,"high burden"
78724,"high burden"
78725,"high burden"
78726,"low burden"
78727,"low burden"
78728,"low burden"
78729,"low burden"
78730,"low burden"
78731,"low burden"
78732,"low burden"
78733,"low burden"
78734,"low burden"
78735,"low burden"
78736,"low burden"
78737,"low burden"
78738,"low burden"
78739,"low burden"
78741,"high burden"
78742,"high burden"
78744,"high burden"
78745,"low burden"
78746,"low burden"
78747,"low burden"
78748,"low burden"
78749,"low burden"
78750,"low burden"
78751,"low burden"
78752,"high burden"
78753,"high burden"
78754,"high burden"
78756,"low burden"
78757,"low burden"
78758,"high burden"
78759,"low burden"
78953,"high burden"
78957,"low burden"
