ZIP,grouping
76527,High burden
76530,High burden
76537,High burden
76574,High burden
76578,High burden
78602,High burden
78610,Low burden
78612,High burden
78613,Low burden
78615,High burden
78616,High burden
78617,High burden
78619,Low burden
78620,Low burden
78621,High burden
78626,High burden
78628,Low burden
78633,Low burden
78634,Low burden
78640,High burden
78641,Low burden
78642,High burden
78644,High burden
78645,Low burden
78648,High burden
78650,High burden
78652,Low burden
78653,High burden
78655,High burden
78656,High burden
78659,High burden
78660,High burden
78662,High burden
78664,Low burden
78665,Low burden
78666,Low burden
78669,Low burden
78676,Low burden
78681,Low burden
78701,High burden
78702,High burden
78703,Low burden
78704,High burden
78705,Low burden
78717,Low burden
78719,High burden
78721,High burden
78722,Low burden
78723,High burden
78724,High burden
78725,High burden
78726,Low burden
78727,Low burden
78728,High burden
78729,Low burden
78730,Low burden
78731,Low burden
78732,Low burden
78733,Low burden
78734,Low burden
78735,Low burden
78736,Low burden
78737,Low burden
78738,Low burden
78739,Low burden
78741,High burden
78742,High burden
78744,High burden
78745,Low burden
78746,Low burden
78747,High burden
78748,Low burden
78749,Low burden
78750,Low burden
78751,Low burden
78752,High burden
78753,High burden
78754,High burden
78756,Low burden
78757,Low burden
78758,High burden
78759,Low burden
78953,High burden
78957,High burden
